customer_id,tenure_months,billing_amount,support_tickets,sla_breaches,active_days,Churn
CUST-1,52,105.45595268211672,9,0,26,0
CUST-2,15,81.39663454118762,9,3,10,0
CUST-3,61,134.42037592979307,3,3,12,0
CUST-4,21,48.04628829293904,8,2,8,1
CUST-5,24,108.11571604030574,5,1,19,0
CUST-6,3,99.00777589285393,2,0,15,0
CUST-7,22,58.38919208433826,5,2,1,0
CUST-8,53,37.75811747465244,9,0,3,1
CUST-9,2,104.71316886204595,5,0,27,0
CUST-10,30,116.01766955720299,4,3,18,0
CUST-11,38,61.0315546892355,1,2,18,0
CUST-12,2,103.82823852290079,9,3,30,1
CUST-13,64,71.36701798949542,9,2,30,1
CUST-14,60,112.7168948267403,1,0,2,0
CUST-15,21,45.8979857362269,6,3,5,0
CUST-16,33,135.72795034270268,1,0,29,0
CUST-17,58,57.363247540525364,5,2,1,1
CUST-18,22,67.81217840829987,4,1,10,0
CUST-19,49,27.551953770445472,3,3,20,0
CUST-20,59,34.49658760176593,6,3,30,0
CUST-21,42,87.06204735260266,7,0,10,0
CUST-22,60,54.787047974636295,3,0,5,0
CUST-23,15,128.61242934648527,0,1,18,0
CUST-24,62,21.910140525144,0,3,21,0
CUST-25,62,69.28222632735171,0,2,26,0
CUST-26,47,63.85492107998205,0,2,15,0
CUST-27,62,22.512592019288135,4,3,20,0
CUST-28,51,36.16789187006633,3,3,8,0
CUST-29,55,73.77354773942258,8,3,17,1
CUST-30,64,84.07239597816806,2,1,12,0
CUST-31,3,72.55766714313299,6,2,21,0
CUST-32,51,89.0218981935722,7,2,30,1
CUST-33,7,97.3671177377386,5,0,30,0
CUST-34,21,21.29009674661863,9,0,27,0
CUST-35,39,80.33237072895551,0,3,12,0
CUST-36,18,145.25490131538646,7,0,26,1
CUST-37,4,87.47419641684134,9,1,1,1
CUST-38,60,108.08049476966391,2,2,26,0
CUST-39,14,60.542301529194816,7,2,26,0
CUST-40,9,120.61887915985913,3,0,4,1
CUST-41,53,120.47979264389497,7,3,8,0
CUST-42,2,87.76848619503807,0,0,1,0
CUST-43,60,146.88179702629776,2,3,27,0
CUST-44,71,36.32152791914494,5,1,15,0
CUST-45,44,22.20319643564553,8,2,18,0
CUST-46,8,120.12056752842248,1,1,1,0
CUST-47,47,124.93021985743474,0,2,11,0
CUST-48,35,35.626939785674914,9,1,23,0
CUST-49,36,54.52576828461879,2,0,2,0
CUST-50,50,22.28180723766176,3,1,1,0
CUST-51,4,58.13011940147341,4,1,12,0
CUST-52,2,120.5084436094273,2,0,16,0
CUST-53,6,87.33486860263527,9,2,22,1
CUST-54,54,65.25242711187745,1,2,22,0
CUST-55,4,68.32610833782294,1,0,10,0
CUST-56,54,20.17597134301086,6,1,18,0
CUST-57,63,58.974068583480665,8,1,15,0
CUST-58,18,104.03963641293096,9,1,17,1
CUST-59,44,146.6452776961264,1,3,30,0
CUST-60,34,130.11790750790692,6,2,10,0
CUST-61,62,23.067345403918786,6,1,3,0
CUST-62,14,136.81287860772912,6,2,26,0
CUST-63,48,121.81579372882138,2,1,30,0
CUST-64,15,121.44889606422745,6,0,21,1
CUST-65,62,79.5394486704643,0,0,16,0
CUST-66,40,71.74068808408536,9,2,6,1
CUST-67,53,59.37904474831504,0,2,3,0
CUST-68,24,28.54033166406755,4,0,9,0
CUST-69,26,49.67059725418088,1,3,11,0
CUST-70,60,52.058472547143204,8,0,21,0
CUST-71,41,82.93001906232621,6,1,13,0
CUST-72,29,117.16777285757021,3,3,18,0
CUST-73,15,81.59527769173306,3,0,26,0
CUST-74,45,27.519778428130877,1,3,22,0
CUST-75,65,144.5126741284665,4,3,28,0
CUST-76,71,142.55416148223458,3,3,24,0
CUST-77,9,122.07464060929308,0,2,27,0
CUST-78,1,148.87262720334869,7,0,22,0
CUST-79,8,90.78270326403418,2,2,4,1
CUST-80,63,145.1598855329168,5,2,22,0
CUST-81,11,29.8286552801776,3,1,24,0
CUST-82,8,67.53849727397827,8,1,8,1
CUST-83,35,49.299564840879555,6,3,13,0
CUST-84,35,45.45830093745511,8,3,10,0
CUST-85,33,38.30438335604789,9,1,2,1
CUST-86,5,100.91377340357957,2,1,8,1
CUST-87,41,121.57184124714966,0,0,6,0
CUST-88,28,95.17879192464689,4,3,16,0
CUST-89,7,39.105152246467256,2,3,18,1
CUST-90,12,125.44609009135122,5,1,17,0
CUST-91,34,102.6741119312847,7,0,6,0
CUST-92,33,70.46154179650941,3,1,13,0
CUST-93,48,107.63693841968818,4,1,23,0
CUST-94,23,53.78764730156827,4,2,14,0
CUST-95,62,64.87498710424737,3,3,30,0
CUST-96,37,139.27315960715873,3,0,26,0
CUST-97,44,57.76558573728465,3,2,21,0
CUST-98,35,81.09847486053175,3,3,30,0
CUST-99,65,135.7183478614819,3,1,10,0
CUST-100,47,112.00377553477857,4,0,24,0
CUST-101,3,28.08641940141136,1,3,11,0
CUST-102,1,39.149395756266145,1,1,13,0
CUST-103,5,21.019406800349188,8,2,12,1
CUST-104,14,102.01983272979125,1,0,9,1
CUST-105,27,78.19754530335439,5,3,4,0
CUST-106,9,37.45573061729582,1,2,7,1
CUST-107,15,144.53143573738015,4,1,24,0
CUST-108,42,88.85576411293059,3,1,29,0
CUST-109,51,51.4461282346756,6,3,22,0
CUST-110,63,85.07846425011198,6,1,2,1
CUST-111,52,108.35064325556401,5,0,7,1
CUST-112,4,29.911098336563384,9,3,29,0
CUST-113,23,55.71149595622596,4,2,9,1
CUST-114,15,124.90551381491917,0,3,5,0
CUST-115,43,79.75643315234596,2,3,15,0
CUST-116,29,91.05502846419834,8,2,18,0
CUST-117,36,76.266080287231,0,1,4,1
CUST-118,13,25.706992543590665,4,2,19,0
CUST-119,32,41.54747137662027,1,0,20,0
CUST-120,71,77.92041303644581,3,1,26,0
CUST-121,59,47.194110503030615,0,3,7,1
CUST-122,28,26.497273725758234,2,1,26,0
CUST-123,66,129.67445632673707,9,1,8,1
CUST-124,42,147.55502879133508,6,0,17,0
CUST-125,45,123.10857361957613,9,1,13,0
CUST-126,62,130.9920398216067,2,1,24,0
CUST-127,57,51.4570269412159,3,1,21,0
CUST-128,6,144.88150681671596,1,3,28,0
CUST-129,28,45.60034157894569,2,1,23,0
CUST-130,28,143.68587534703818,8,2,11,0
CUST-131,44,149.32650821557363,2,1,27,0
CUST-132,30,112.52396474698634,4,0,1,0
CUST-133,62,147.54868513293684,1,1,2,0
CUST-134,62,94.04017134372347,3,1,17,0
CUST-135,1,53.74043181289174,6,3,5,1
CUST-136,27,76.80946513653072,6,2,30,1
CUST-137,62,97.16292159924217,2,1,30,0
CUST-138,3,29.50060306351195,4,2,6,0
CUST-139,70,100.90462440024199,0,0,26,0
CUST-140,27,147.55311877909827,9,3,25,0
CUST-141,9,44.71399447188459,9,2,24,0
CUST-142,62,123.03736511748983,9,3,7,1
CUST-143,37,138.0268431913505,0,1,28,0
CUST-144,51,142.6812070666287,4,0,21,0
CUST-145,44,144.81762857270814,9,3,30,1
CUST-146,24,87.78975303379136,8,1,15,0
CUST-147,59,147.05002803889548,0,2,19,0
CUST-148,32,118.45032692747705,0,0,16,0
CUST-149,52,41.017286710805045,3,0,25,0
CUST-150,62,81.9970138408361,3,2,13,0
CUST-151,58,113.38305279836051,1,2,5,1
CUST-152,52,52.154241056480835,8,0,3,1
CUST-153,12,103.27997386135536,8,3,3,1
CUST-154,39,106.6580622760605,1,0,19,0
CUST-155,2,41.15096669511357,8,2,14,1
CUST-156,3,93.46109061885832,5,3,16,0
CUST-157,56,120.31149842721901,7,1,22,0
CUST-158,59,84.85643638967245,9,0,17,0
CUST-159,2,21.573405180893964,3,2,27,0
CUST-160,2,21.175000980307985,1,1,4,0
CUST-161,54,66.41381471610158,1,0,13,0
CUST-162,1,140.40522889613166,8,0,8,0
CUST-163,19,49.72798134846914,0,3,19,0
CUST-164,2,102.46727955331933,6,2,5,1
CUST-165,53,48.869863190131674,2,1,2,1
CUST-166,44,61.81709865574132,2,0,15,0
CUST-167,32,130.2454716481929,1,3,2,1
CUST-168,70,114.75198749509309,9,1,11,0
CUST-169,32,32.401906050717386,5,1,13,0
CUST-170,68,75.73126272823637,9,0,23,0
CUST-171,55,23.79206927388438,1,1,10,0
CUST-172,56,82.51571905839117,9,0,3,1
CUST-173,17,106.11642152113885,3,3,5,0
CUST-174,38,35.4053410677597,9,3,3,0
CUST-175,24,57.55504205819154,8,1,6,1
CUST-176,69,71.7187613152804,8,0,13,0
CUST-177,70,139.53903320528647,5,2,10,0
CUST-178,11,149.12315200498531,3,3,19,1
CUST-179,16,25.83846886943006,6,0,8,1
CUST-180,59,118.93103005440096,0,0,18,0
CUST-181,70,68.32412863230462,3,0,3,0
CUST-182,3,71.0195642098324,4,1,24,0
CUST-183,20,118.05444653511294,7,2,24,0
CUST-184,59,139.39543617890314,1,1,17,0
CUST-185,36,143.6207172853313,4,3,8,0
CUST-186,19,95.0259361849817,5,1,10,0
CUST-187,67,66.42575070906537,4,0,2,0
CUST-188,19,122.3813811616413,8,1,12,0
CUST-189,20,52.63017982409903,9,0,23,1
CUST-190,71,93.3296237483573,0,2,6,0
CUST-191,52,66.61519999823352,2,1,2,1
CUST-192,33,105.3620395820239,1,1,21,0
CUST-193,40,51.2518586761559,2,1,23,0
CUST-194,39,44.90708294552735,9,0,24,0
CUST-195,1,139.3710812678068,8,0,3,0
CUST-196,11,33.2344787834398,8,1,17,0
CUST-197,57,85.77452800554111,9,1,29,0
CUST-198,50,48.710861785191156,1,2,7,0
CUST-199,23,25.06089523233677,2,2,29,0
CUST-200,31,24.68244637788543,3,3,21,0
CUST-201,42,42.77883037375756,8,2,5,1
CUST-202,7,132.68014608578005,2,2,23,1
CUST-203,16,56.722236717013466,6,2,1,1
CUST-204,60,143.55969217478844,2,0,8,1
CUST-205,2,95.61089808859516,6,2,12,0
CUST-206,1,76.75984466993958,6,2,14,1
CUST-207,48,95.4115485070291,8,1,16,0
CUST-208,12,87.17079007941481,1,0,10,0
CUST-209,69,118.64091298845227,5,3,15,0
CUST-210,37,56.7244885764708,8,3,21,0
CUST-211,32,65.8965509080393,1,2,24,0
CUST-212,9,136.23225932932257,1,3,26,0
CUST-213,19,143.03934670955272,4,3,15,1
CUST-214,48,136.0325695732417,9,3,10,0
CUST-215,3,74.52823921445076,9,2,21,1
CUST-216,20,121.44751539089462,9,3,28,0
CUST-217,24,81.92364532914284,7,2,7,1
CUST-218,54,84.68018077899329,8,1,26,0
CUST-219,33,46.60841417744692,1,1,3,0
CUST-220,24,96.84693942360714,4,3,2,1
CUST-221,36,44.19766670793523,6,1,6,1
CUST-222,38,63.10341087873519,5,2,21,0
CUST-223,25,131.15392621059158,5,1,9,0
CUST-224,18,46.91985519741118,6,3,10,0
CUST-225,66,29.250577072546264,2,2,4,0
CUST-226,54,28.97098703966612,2,0,27,0
CUST-227,35,142.30198766540403,9,2,3,1
CUST-228,61,85.8996569350385,8,1,9,1
CUST-229,41,73.22356933621239,7,0,24,1
CUST-230,33,125.4142155310294,4,2,22,0
