CustomerID,Age,Tenure_Months,Monthly_Charges,Contract_Type,Tech_Support,Churn
1,56,64,83.22821536376398,Month-to-month,Yes,0
2,69,44,39.899213895943674,Month-to-month,No,0
3,46,53,61.833386410228016,One year,Yes,0
4,32,24,95.09397983633183,One year,No,0
5,60,60,30.137289755315916,One year,No,0
6,25,3,47.78527760897123,Month-to-month,No,1
7,38,20,47.63191084658536,Month-to-month,No,1
8,56,46,63.2018927594506,One year,Yes,0
9,36,15,118.0368740942185,Two year,No,1
10,40,25,26.750254668382194,One year,No,0
11,28,71,71.8700994380595,Two year,No,0
12,28,17,37.93646820122105,One year,No,0
13,41,9,117.06765454097442,One year,No,1
14,53,38,31.33035047274642,Month-to-month,No,1
15,57,48,60.36010023615913,One year,Yes,0
16,41,60,93.78849848346061,One year,No,0
17,20,63,90.45544280274453,One year,No,0
18,39,2,62.272863689393226,Month-to-month,No,1
19,19,11,54.652416795271826,One year,Yes,0
20,41,64,59.76123785528706,Month-to-month,Yes,1
21,61,21,46.42762631586393,One year,No,0
22,47,18,40.533293870679984,Month-to-month,No,1
23,55,64,68.303969755889,Two year,No,0
24,19,38,46.853375606760736,Month-to-month,No,0
25,38,32,48.74616648972501,Month-to-month,No,0
26,50,11,85.67560634745571,Month-to-month,No,1
27,29,45,116.85373316998923,One year,Yes,1
28,39,33,80.3637200559375,Month-to-month,No,0
29,61,41,27.69794670649663,Month-to-month,Yes,0
30,42,8,27.558361385406698,One year,No,0
31,66,11,115.1423220845566,Month-to-month,No,1
32,44,51,49.72907903073336,Two year,No,0
33,59,41,29.206698608247542,Two year,No,0
34,45,17,79.90445871503815,One year,No,0
35,33,46,82.36487782902661,Month-to-month,No,1
36,32,32,84.85048201186882,One year,Yes,0
37,64,54,46.74020278575413,Month-to-month,No,0
38,68,20,21.511068421447504,Month-to-month,Yes,0
39,61,33,116.50153694544719,Month-to-month,No,1
40,69,40,45.08930456911025,Two year,Yes,0
41,20,32,87.60262880525475,Month-to-month,Yes,0
42,54,2,90.66298698787095,One year,No,0
43,68,33,81.00074170794858,One year,No,1
44,24,30,51.29073942136482,Month-to-month,No,0
45,38,33,47.109625376406576,Month-to-month,Yes,0
46,26,26,79.76682827027031,Two year,No,0
47,56,22,106.60956336116915,One year,Yes,0
48,35,66,114.67337289233956,One year,No,1
49,21,38,30.590580440375764,Month-to-month,No,1
50,42,46,35.48286125977199,Month-to-month,No,1
51,31,15,114.47362587830797,Month-to-month,No,1
52,67,44,93.65352283347926,Month-to-month,No,1
53,26,49,108.29938248297731,Month-to-month,No,1
54,43,61,40.26326341353432,Two year,No,0
55,19,67,78.75858711094018,Month-to-month,No,1
56,37,6,90.11395944174737,Month-to-month,No,1
57,45,9,88.01118854469726,One year,Yes,0
58,64,6,60.81516908666981,One year,No,0
59,24,32,21.539489169130846,Month-to-month,No,1
60,61,41,78.2926056804263,One year,No,0
61,25,8,45.310153917960875,Month-to-month,Yes,1
62,64,50,65.02542461428904,Month-to-month,Yes,0
63,52,62,115.75810150838173,Month-to-month,No,1
64,31,62,59.903531764243475,Two year,No,0
65,34,7,103.98016066644267,Month-to-month,Yes,0
66,53,4,38.854060574925114,Month-to-month,No,1
67,67,6,87.24604980250288,Month-to-month,No,1
68,57,58,117.70069544389435,Two year,No,0
69,21,22,30.189310087293677,Month-to-month,Yes,0
70,19,26,20.831994222719203,Month-to-month,Yes,1
71,23,3,63.35827926326144,Month-to-month,No,1
72,59,41,29.26254830513672,Month-to-month,Yes,0
73,21,60,94.83843496762313,One year,Yes,0
74,46,14,111.45486638485589,One year,No,0
75,35,12,63.402097270875885,Month-to-month,No,1
76,43,12,45.8711642155441,Month-to-month,Yes,0
77,61,13,63.44033190066098,Month-to-month,Yes,0
78,51,25,92.3447817850001,Month-to-month,Yes,0
79,27,45,20.9054161580371,Month-to-month,Yes,1
80,53,19,78.94539894846972,One year,No,0
81,31,55,81.3291684887379,Two year,No,0
82,48,45,83.76882468959354,Two year,No,1
83,65,8,44.20220799808772,Two year,No,0
84,32,53,91.40527233781268,One year,No,0
85,25,55,29.13914863317764,One year,Yes,0
86,31,32,39.92703364668008,Month-to-month,No,0
87,40,51,107.74700466544819,One year,No,0
88,57,44,93.87231507265663,Month-to-month,No,0
89,38,70,21.374555401134526,Month-to-month,Yes,1
90,33,18,44.83762603698002,One year,No,0
91,62,22,41.44064829931646,Month-to-month,No,1
92,35,37,47.080632803697256,Month-to-month,No,1
93,64,56,44.75597702798864,Two year,Yes,0
94,41,59,26.252629574284576,Month-to-month,No,1
95,43,3,65.89405165968203,Month-to-month,No,0
96,42,28,93.27334747861651,Two year,No,0
97,62,35,80.67317247174364,One year,No,1
98,58,61,87.28716685980798,One year,Yes,0
